Class Name - Live Objects,Live Bytes11,Live Bytes12,Live Objects1,size1,Live Bytes21,Live Bytes22,Live Objects2,size2,Live Bytes31,Live Bytes32,Live Objects3,size3
com.intellij.sql.dialects.postgres.PostgresDialect,0.00%,56,1,56,0.00%,64,1,64,0.00%,56,1,56
com.intellij.sql.dialects.postgres.PostgresDialect$PlDialect,0.00%,56,1,56,0.00%,64,1,64,0.00%,56,1,56
com.intellij.sql.dialects.redshift.RedshiftDialect,0.00%,56,1,56,0.00%,64,1,64,0.00%,56,1,56
com.intellij.sql.dialects.sql92.Sql92Dialect,0.00%,56,1,56,0.00%,64,1,64,0.00%,56,1,56
com.intellij.sql.dialects.sqlite.SqliteDialect,0.00%,56,1,56,0.00%,64,1,64,0.00%,56,1,56
com.intellij.sql.dialects.sybase.SybaseDialect,0.00%,56,1,56,0.00%,64,1,64,0.00%,56,1,56
com.intellij.openapi.components.impl.ProjectPathMacroManager,0.00%,48,2,24,0.00%,64,2,32,0.00%,48,2,24
com.intellij.lang.javascript.service.JSLanguageServiceProvider[],0.00%,48,2,24,0.00%,32,1,32,0.00%,48,2,24
com.intellij.lang.javascript.library.JSLibraryMappings,0.00%,48,1,48,0.00%,56,1,56,0.00%,96,2,48
com.intellij.lang.javascript.buildTools.webpack.WebPackConfigManager,0.00%,48,1,48,0.00%,56,1,56,0.00%,96,2,48
com.intellij.ide.projectView.impl.ProjectViewSharedSettings,0.00%,48,2,24,0.00%,64,2,32,0.00%,48,2,24
com.intellij.execution.impl.ConsoleViewImpl$ClearRunnable,0.00%,48,2,24,0.00%,64,2,32,0.00%,24,1,24
com.intellij.diagnostic.DialogAppender,0.00%,48,1,48,0.00%,56,1,56,0.00%,48,1,48
com.intellij.coverage.CoveragePluginDataManagerImpl,0.00%,48,1,48,0.00%,56,1,56,0.00%,48,1,48
com.intellij.coverage.CoverageEngine[],0.00%,48,2,24,0.00%,32,1,32,0.00%,48,2,24
com.intellij.configurationStore.SchemeManagerIprProvider,0.00%,48,2,24,0.00%,64,2,32,0.00%,48,2,24
com.intellij.openapi.vcs.changes.ui.ChangesViewContentManager,0.00%,48,1,48,0.00%,40,1,40,0.00%,48,1,48
com.intellij.execution.impl.ExecutionManagerKtImpl,0.00%,40,1,40,0.00%,32,1,32,0.00%,40,1,40
com.intellij.ide.projectView.ProjectViewNodeDecorator[],0.00%,40,1,40,0.00%,96,3,32,0.00%,40,1,40
com.intellij.openapi.projectRoots.SdkType[],0.00%,40,1,40,0.00%,48,1,48,0.00%,40,1,40
com.intellij.ide.ui.laf.darcula.DarculaLaf,0.00%,40,1,40,0.00%,48,1,48,0.00%,40,1,40
com.intellij.openapi.module.Module[],0.00%,40,2,20,0.00%,64,3,21,0.00%,40,2,20
com.intellij.openapi.wm.impl.status.LineSeparatorPanel,0.00%,40,1,40,0.00%,48,1,48,0.00%,40,1,40
com.intellij.openapi.wm.impl.StripeButtonUI,0.00%,40,1,40,0.00%,1288,23,56,0.00%,40,1,40
com.intellij.codeInsight.problems.WolfTheProblemSolverImpl,0.00%,40,1,40,0.00%,32,1,32,0.00%,40,1,40
com.intellij.configurationStore.DefaultProjectStoreImpl,0.00%,40,1,40,0.00%,32,1,32,0.00%,40,1,40
com.intellij.application.options.editor.EditorSmartKeysConfigurableEP[],0.00%,40,1,40,0.00%,48,1,48,0.00%,40,1,40
com.intellij.openapi.diff.impl.external.DiffManagerImpl,0.00%,32,1,32,0.00%,24,1,24,0.00%,32,1,32
com.intellij.openapi.editor.actionSystem.EditorTypedHandlerBean[],0.00%,32,1,32,0.00%,56,2,28,0.00%,32,1,32
com.intellij.diagnostic.MessagePool$MessageGrouper,0.00%,32,1,32,0.00%,24,1,24,0.00%,32,1,32
com.intellij.openapi.roots.ui.configuration.ModuleSourceRootEditHandler[],0.00%,32,1,32,0.00%,48,1,48,0.00%,32,1,32
com.intellij.xdebugger.impl.DebuggerSupport[],0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.dmserver.run.DMServerRunConfigurationType,0.00%,32,1,32,0.00%,24,1,24,0.00%,32,1,32
com.intellij.vcs.log.impl.VcsProjectLog,0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.execution.Executor[],0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.execution.RunConfigurationExtension[],0.00%,32,1,32,0.00%,40,1,40,0.00%,64,2,32
com.intellij.execution.actions.RunConfigurationsComboBoxAction,0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.execution.actions.StopBackgroundProcessesAction,0.00%,32,1,32,0.00%,24,1,24,0.00%,32,1,32
com.intellij.execution.compound.CompoundRunConfigurationType,0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.execution.configurations.UnknownConfigurationType,0.00%,32,2,16,0.00%,40,1,40,0.00%,32,2,16
com.intellij.execution.impl.ConsoleViewImpl$FlushRunnable,0.00%,32,2,16,0.00%,48,2,24,0.00%,16,1,16
com.intellij.codeInsight.daemon.impl.analysis.DefaultHighlightingSettingProvider[],0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.ide.ApplicationLoadListener[],0.00%,32,1,32,0.00%,24,1,24,0.00%,32,1,32
com.intellij.ide.FrameStateManagerImpl,0.00%,32,1,32,0.00%,24,1,24,0.00%,32,1,32
com.intellij.ide.GeneratedSourceFileChangeTrackerImpl$1,0.00%,32,1,32,0.00%,16,1,16,0.00%,32,1,32
com.intellij.ide.macro.IdePathMacros,0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.task.ProjectTaskRunner[],0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.openapi.application.ApplicationNamesInfo,0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.ide.todo.TodoConfiguration,0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.ide.ui.customization.CustomActionsSchema,0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.ide.ui.laf.LafManagerImpl,0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.internal.DebugAttachDetector,0.00%,32,1,32,0.00%,24,1,24,0.00%,32,1,32
com.intellij.javaee.PsiExternalResourceNotifier,0.00%,32,1,32,0.00%,24,1,24,0.00%,32,1,32
com.intellij.javaee.cloudbees.CBConfiguration,0.00%,32,1,32,0.00%,24,1,24,0.00%,32,1,32
com.intellij.openapi.progress.impl.ProgressManagerImpl,0.00%,32,1,32,0.00%,24,1,24,0.00%,32,1,32
com.intellij.javascript.debugger.execution.JavascriptDebugConfigurationType,0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.javascript.flex.mxml.schema.CodeContextHolder,0.00%,32,1,32,0.00%,24,1,24,0.00%,32,1,32
com.intellij.javascript.jest.JestConfigurationType,0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.javascript.protractor.ProtractorConfigurationType,0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.psi.search.scope.packageSet.CustomScopesProvider[],0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.psi.search.ProjectAndLibrariesScope,0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.psi.impl.source.PsiParameterListImpl,0.00%,32,1,32,0.00%,24,1,24,0.02%,34016,1063,32
com.intellij.psi.impl.PsiManagerImpl$1,0.00%,32,2,16,0.00%,72,3,24,0.00%,32,2,16
com.intellij.psi.compiled.ClassFileDecompilers$Decompiler[],0.00%,32,1,32,0.00%,40,1,40,0.00%,64,2,32
com.intellij.lang.javascript.buildTools.grunt.rc.GruntConfigurationType,0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.lang.javascript.buildTools.gulp.rc.GulpConfigurationType,0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.lang.javascript.buildTools.npm.rc.NpmConfigurationType,0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.coverage.CoverageRunner[],0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.openapi.vcs.roots.VcsRootDetectorImpl,0.00%,32,1,32,0.00%,40,1,40,0.00%,32,1,32
com.intellij.openapi.vcs.changes.actions.RevertSelectedChangesAction,0.00%,32,1,32,0.00%,24,1,24,0.00%,32,1,32
com.intellij.openapi.vcs.changes.actions.RevertChangeListAction,0.00%,32,1,32,0.00%,24,1,24,0.00%,32,1,32
com.intellij.openapi.vcs.changes.RecursiveFileHolder,0.00%,32,1,32,0.00%,24,1,24,0.00%,32,1,32
com.intellij.openapi.util.text.StringUtil$MyHtml2Text,0.00%,32,2,16,0.00%,48,2,24,0.00%,32,2,16
com.intellij.notification.impl.NotificationsConfigurationImpl,0.00%,32,1,32,0.00%,24,1,24,0.00%,32,1,32
com.intellij.sql.dialects.SqlDialectMappings,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.lang.javascript.nashorn.library.NashornJSLibraryProvider$1,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.coverage.CoverageDataManagerImpl$5,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.openapi.file.exclude.ProjectPlainTextFileTypeManager,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.database.vfs.DbStorageFileType$H2Storage,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.database.vfs.DbStorageFileType$SqliteStorage,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.spring.boot.model.SpringBootApplicationConfigFileNameContributor,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.spring.boot.cloud.model.bootstrap.SpringBootBootstrapConfigFileNameContributor,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.openapi.util.DimensionService,0.00%,24,1,24,0.00%,40,1,40,0.00%,24,1,24
com.intellij.psi.templateLanguages.TemplateDataLanguageMappings,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.openapi.vcs.update.RestoreUpdateTree,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.openapi.vcs.roots.VcsRootScanner,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.psi.search.ProjectScopeImpl,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.psi.search.NonClasspathDirectoriesScope,0.00%,24,1,24,0.00%,64,2,32,0.00%,24,1,24
com.intellij.openapi.vcs.impl.VcsDirectoryMappingStorage,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.database.run.actions.ChooseConsoleAction,0.00%,24,1,24,0.00%,40,1,40,0.00%,24,1,24
com.intellij.database.run.actions.ChooseExtractorAction,0.00%,24,1,24,0.00%,40,1,40,0.00%,24,1,24
com.intellij.database.run.actions.ChooseSchemaAction,0.00%,24,1,24,0.00%,40,1,40,0.00%,24,1,24
com.intellij.openapi.components.impl.ModulePathMacroManager,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.debugger.streams.lib.LibrarySupportProvider[],0.00%,24,1,24,0.00%,40,1,40,0.00%,24,1,24
com.intellij.openapi.vcs.changes.actions.RemoveChangeListAction,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.analysis.PackagesScopesProvider,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.lang.typescript.tsconfig.graph.TypeScriptConfigGraphCache,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.execution.compound.CompoundRunConfigurationType$1,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.lang.css.CssDialectMappings,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.execution.scratch.JavaScratchConfigurationType,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.util.indexing.LightDirectoryIndex,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.psi.codeStyle.FileIndentOptionsProvider[],0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.psi.codeStyle.CodeStyleSettingsCustomizable$CommenterOption[],0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.ide.GeneratedSourceFileChangeTrackerImpl$2,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.openapi.editor.impl.EditorActionManagerImpl,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
org.intellij.idea.lang.javascript.intention.initialization.FlowJSTypeExplicitlyIntention,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.ide.actions.RedoAction,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.ide.actions.UndoAction,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.lang.javascript.dialects.JSDialectsMappings,0.00%,24,1,24,0.00%,32,1,32,0.00%,24,1,24
com.intellij.ide.impl.DataValidator$ArrayValidator,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.ide.impl.PsiElementArrayDataValidator,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.database.autoconfig.DatabaseConfigFileWatcher,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.codeInsight.daemon.impl.ExternalToolPassFactory,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.ide.projectView.impl.ProjectViewImpl$3,0.00%,24,1,24,0.00%,16,1,16,0.00%,24,1,24
com.intellij.xml.index.XmlNamespaceIndex$1,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.ssh.InitJSchLoggerStartupActivity$JSchLogger,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.plugins.jboss.arquillian.runConfiguration.ArquillianTestNGRunConfigurationType,0.00%,16,1,16,0.00%,32,1,32,0.00%,16,1,16
com.intellij.plugins.jboss.arquillian.runConfiguration.ArquillianJUnitRunConfigurationType,0.00%,16,1,16,0.00%,32,1,32,0.00%,16,1,16
com.intellij.openapi.util.objectTree.ObjectNode[],0.00%,16,1,16,0.00%,56,2,28,0.00%,16,1,16
com.intellij.openapi.file.exclude.EnforcedPlainTextFileTypeFactory$1,0.00%,16,1,16,0.00%,32,1,32,0.00%,16,1,16
com.intellij.openapi.externalSystem.service.project.autoimport.ExternalSystemProjectsWatcherImpl$2,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.openapi.editor.impl.DocumentMarkupModelManager$1,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.lang.javascript.flex.run.FlashRunConfigurationType,0.00%,16,1,16,0.00%,40,1,40,0.00%,16,1,16
com.intellij.lang.javascript.flex.flexunit.FlexUnitRunConfigurationType,0.00%,16,1,16,0.00%,40,1,40,0.00%,16,1,16
com.intellij.lang.javascript.flex.build.FlexCompilerHandler$2,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.lang.javascript.buildTools.webpack.WebPackOutput,0.00%,16,1,16,0.00%,24,1,24,0.00%,32,2,16
com.intellij.lang.ant.config.execution.AntRunConfigurationType,0.00%,16,1,16,0.00%,40,1,40,0.00%,16,1,16
com.intellij.javascript.jest.coverage.JestCoverageRunner,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.j2meplugin.run.J2MEConfigurationType,0.00%,16,1,16,0.00%,40,1,40,0.00%,16,1,16
com.intellij.ide.scratch.ScratchFileServiceImpl$MyLanguages,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.ide.projectView.impl.ProjectViewImpl$1,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.ide.projectView.impl.AbstractProjectViewPane$2,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.ide.actionMacro.ActionMacroManager$1,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.gwt.run.GwtRunConfigurationType,0.00%,16,1,16,0.00%,32,1,32,0.00%,16,1,16
com.intellij.execution.remote.RemoteConfigurationType,0.00%,16,1,16,0.00%,40,1,40,0.00%,16,1,16
com.intellij.execution.applet.AppletConfigurationType,0.00%,16,1,16,0.00%,40,1,40,0.00%,16,1,16
com.intellij.execution.JavaRunConfigurationExtensionManager,0.00%,16,1,16,0.00%,32,1,32,0.00%,16,1,16
com.intellij.diagnostic.IdeMessagePanel$1,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.debugger.streams.lib.impl.StreamExLibrarySupportProvider,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.database.autoconfig.DatabaseConfigFileWatcher$1,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.coverage.CoverageDataManagerImpl$4,0.00%,16,1,16,0.00%,48,2,24,0.00%,16,1,16
com.intellij.configurationStore.ApplicationPathMacroManager,0.00%,16,1,16,0.00%,32,1,32,0.00%,16,1,16
com.intellij.coldFusion.UI.runner.CfmlRunConfigurationType,0.00%,16,1,16,0.00%,40,1,40,0.00%,16,1,16
com.intellij.codeInsight.intention.impl.ExpandStaticImportAction,0.00%,16,1,16,0.00%,24,1,24,0.00%,16,1,16
com.intellij.codeInsight.daemon.GutterIconDescriptor$Option[],0.00%,16,1,16,0.00%,48,2,24,0.00%,16,1,16
com.intellij.codeHighlighting.TextEditorHighlightingPass[],0.00%,16,1,16,0.00%,96,2,48,0.00%,16,1,16
